RestaurantID,RestaurantName,Type,Size,Cuisine,Location,Country,TaxApplicable,Status
R067,Barry-Byrne,Buffet,74,Japanese,"Flat 52
Denise roads
New Deniseborough
HS2 1FL",UK,VAT,Active
R068,Coleman and Sons,Fast Food,117,Italian,"779 Davies port
Teresamouth
W17 4LY",UK,VAT,Inactive
R069,Parsons Inc,Café,136,British,"Studio 0
Laura village
Martinland
S7K 7YH",UK,VAT,Inactive
R070,Butler-Knight,Bistro,189,Mediterranean,"Flat 5
Leanne rue
North Louis
LA7V 5QN",UK,VAT,Active
R071,Hanson-Haynes,Fast Food,95,Thai,"Flat 5
Nicole springs
Abbottberg
BT9 5NR",UK,VAT,Active
R072,Wright Inc,Bistro,158,Italian,"Studio 52Q
Leah skyway
Buckleytown
HA2 5UH",UK,VAT,Under Maintenance
R073,Watkins and Sons,Café,34,Italian,"Flat 8
Irene junction
New Nicola
G29 7BS",UK,VAT,Under Maintenance
R074,Davies-Smith,Buffet,148,Indian,"Studio 73I
Dylan valleys
Cookeborough
SK9 7NR",UK,VAT,Active
R075,"Hill, Morgan and Warren",Bistro,40,Indian,"Flat 7
Naylor cove
West Jakeburgh
LD8 6DJ",UK,VAT,Active
R076,Young-Begum,Bistro,37,Thai,"85 Emma common
Francistown
CB5 2BN",UK,VAT,Inactive
R077,Booth-Khan,Fine Dining,165,Thai,"Studio 01
Douglas forge
New Tina
S1U 3NE",UK,VAT,Under Maintenance
R078,Smith Ltd,Bistro,30,Chinese,"7 Julia passage
Lake Gareth
KW0 3YS",UK,VAT,Inactive
R079,Adams Inc,Bistro,164,Mexican,"888 Janet well
Thomasfurt
EN0 1QJ",UK,VAT,Inactive
R080,"Moss, Webb and Jackson",Fast Food,191,Mexican,"5 Bradley extensions
Robinsonfort
DE2B 0NH",UK,VAT,Active
R081,James Inc,Café,121,Indian,"Studio 68
Smith terrace
West Susan
N4 5SR",UK,VAT,Under Maintenance
R082,"Williams, Andrews and Cook",Café,137,Mexican,"Studio 75Z
Roberts stream
Fergusonburgh
M5B 5NN",UK,VAT,Active
R083,Foster-Pickering,Fine Dining,137,Chinese,"Studio 0
Richards mews
Ruthton
S5 0FZ",UK,VAT,Active
R084,"Porter, Howells and Rice",Bistro,74,British,"Studio 9
Rachael drives
Wellsstad
TA19 8QR",UK,VAT,Active
R085,Brooks-Smith,Café,37,Thai,"278 Johnston crest
Elliotmouth
M73 2DT",UK,VAT,Inactive
R086,Sutton Group,Café,60,Mediterranean,"Studio 51J
Ball vista
Lake Carolyn
RH2N 1HF",UK,VAT,Under Maintenance
R087,Pearson Inc,Café,176,Italian,"Studio 8
Molly corners
West Patriciafort
S6W 2PD",UK,VAT,Under Maintenance
R088,Hall-Weston,Bistro,96,Chinese,"6 Harry path
West Roger
N35 1LH",UK,VAT,Active
R089,"Andrews, Robertson and Johnson",Café,49,Chinese,"922 Gray port
Port Matthewland
M3 9AU",UK,VAT,Under Maintenance
R090,"Kaur, Graham and Atkins",Bistro,59,British,"Flat 71S
Charles mill
Jonesborough
PL2 5QR",UK,VAT,Inactive
R091,Carter PLC,Bistro,73,Mexican,"Flat 71
Power divide
North Gregoryfurt
S3W 5YP",UK,VAT,Active
R092,Miller Group,Café,149,Mediterranean,"Flat 70f
Lowe garden
New Jay
B4 9UN",UK,VAT,Inactive
R093,"Bailey, Dean and Macdonald",Fine Dining,43,Japanese,"Studio 5
Joanne center
West Andrea
BS6 8LZ",UK,VAT,Inactive
R094,"Talbot, Clarke and Glover",Fine Dining,20,Mexican,"Studio 52
Mandy pass
Knightton
G5 8TF",UK,VAT,Active
R095,"Lawrence, Davidson and Begum",Café,61,Mediterranean,"94 O'Sullivan pass
Waltersport
TW05 1SY",UK,VAT,Under Maintenance
R096,Roberts-Wood,Buffet,163,Italian,"Flat 99o
Carole neck
New Harriet
PR6E 0YE",UK,VAT,Active
R097,Brown LLC,Fine Dining,196,Indian,"36 Wong street
Lake Ashleyhaven
N78 5GT",UK,VAT,Under Maintenance
R098,"Ward, Nixon and Clements",Fine Dining,114,Indian,"Flat 34
Wilson hills
Geraldineborough
SO7N 5XL",UK,VAT,Inactive
R099,Blake-Davies,Fast Food,30,British,"Flat 24c
Nolan common
Angelaview
LS3H 8LF",UK,VAT,Inactive
R100,Richards PLC,Fine Dining,111,Thai,"8 Kim fort
North Amymouth
LN1X 0XG",UK,VAT,Under Maintenance
